vector,alpha,logodds
none,0.0,-6.103427886962891
desperate,-0.05,-5.846227645874023
desperate,0.05,-6.277593612670898
desperate,-0.1,-5.667638778686523
desperate,0.1,-6.547828674316406
desperate,-0.2,-6.024316787719727
desperate,0.2,-7.703725814819336
desperate,-0.3,-6.694377899169922
desperate,0.3,-8.424720764160156
desperate,-0.5,-10.274238586425781
desperate,0.5,-9.90992546081543
desperate,-0.8,-31.307037353515625
desperate,0.8,-12.432683944702148
desperate,-1.0,-47.294227600097656
desperate,1.0,-15.769813537597656
calm,-0.05,-5.90992546081543
calm,0.05,-6.138235092163086
calm,-0.1,-5.91656494140625
calm,0.1,-6.610740661621094
calm,-0.2,-6.219335556030273
calm,0.2,-7.681440353393555
calm,-0.3,-7.047964096069336
calm,0.3,-9.348653793334961
calm,-0.5,-9.572275161743164
calm,0.5,-14.700996398925781
calm,-0.8,-15.374814987182617
calm,0.8,-36.94501495361328
calm,-1.0,-23.71068572998047
calm,1.0,-59.17911338806152
