vector,alpha,logodds
none,0.0,-5.760505676269531
desperate,-0.05,-5.73101806640625
desperate,0.05,-6.256011962890625
desperate,-0.1,-5.637229919433594
desperate,0.1,-6.434820175170898
desperate,-0.2,-5.779109954833984
desperate,0.2,-7.240470886230469
desperate,-0.3,-6.64024543762207
desperate,0.3,-8.134170532226562
desperate,-0.5,-10.324930191040039
desperate,0.5,-9.833805084228516
desperate,-0.8,-30.78960609436035
desperate,0.8,-12.31515121459961
desperate,-1.0,-46.94037628173828
desperate,1.0,-15.516645431518555
calm,-0.05,-5.710121154785156
calm,0.05,-6.058969497680664
calm,-0.1,-5.853357315063477
calm,0.1,-6.536325454711914
calm,-0.2,-5.9286346435546875
calm,0.2,-7.473867416381836
calm,-0.3,-6.902711868286133
calm,0.3,-9.15030288696289
calm,-0.5,-9.251747131347656
calm,0.5,-14.728372573852539
calm,-0.8,-15.17776107788086
calm,0.8,-36.80665969848633
calm,-1.0,-23.658130645751953
calm,1.0,-59.09784698486328
