vector,alpha,logodds
none,0.0,-7.20811653137207
desperate,-0.05,-7.3078460693359375
desperate,0.05,-7.26875114440918
desperate,-0.1,-7.515423774719238
desperate,0.1,-7.444984436035156
desperate,-0.2,-8.045846939086914
desperate,0.2,-7.998744964599609
desperate,-0.3,-8.934764862060547
desperate,0.3,-8.585737228393555
desperate,-0.5,-9.73414421081543
desperate,0.5,-8.992105484008789
desperate,-0.8,-17.208409309387207
desperate,0.8,-13.963249206542969
desperate,-1.0,-45.65421962738037
desperate,1.0,-23.489498138427734
calm,-0.05,-7.153542518615723
calm,0.05,-7.3669633865356445
calm,-0.1,-7.3560991287231445
calm,0.1,-7.468682289123535
calm,-0.2,-7.809833526611328
calm,0.2,-8.156807899475098
calm,-0.3,-8.790283203125
calm,0.3,-9.173917770385742
calm,-0.5,-10.457387924194336
calm,0.5,-12.473334312438965
calm,-0.8,-16.548885345458984
calm,0.8,-20.824280738830566
calm,-1.0,-25.253414154052734
calm,1.0,-43.45950508117676
