vector,alpha,logodds
none,0.0,-2.5334854125976562
desperate,-0.05,-2.971014976501465
desperate,0.05,-2.251861572265625
desperate,-0.1,-3.568096160888672
desperate,0.1,-2.2128734588623047
desperate,-0.2,-4.666685104370117
desperate,0.2,-2.273369789123535
desperate,-0.3,-5.818874359130859
desperate,0.3,-2.6960325241088867
desperate,-0.5,-9.314130783081055
desperate,0.5,-2.5331602096557617
desperate,-0.8,-20.658970832824707
desperate,0.8,-8.037385940551758
desperate,-1.0,-38.31379985809326
desperate,1.0,-12.54383659362793
calm,-0.05,-2.0286989212036133
calm,0.05,-3.168156623840332
calm,-0.1,-2.0612449645996094
calm,0.1,-3.562140464782715
calm,-0.2,-1.7418155670166016
calm,0.2,-4.988243103027344
calm,-0.3,-1.995828628540039
calm,0.3,-6.496691703796387
calm,-0.5,-2.4121408462524414
calm,0.5,-11.746707916259766
calm,-0.8,-5.853194236755371
calm,0.8,-23.860301971435547
calm,-1.0,-8.91811466217041
calm,1.0,-33.89993476867676
