actual \ predicted,joyful,excited,proud,calm,surprised,sad,lonely,ashamed,afraid,desperate,angry,disgusted
joyful,0.91,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
excited,0.17,0.50,0.26,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
proud,0.15,0.15,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
calm,0.00,0.00,0.00,0.94,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
surprised,0.00,0.00,0.00,0.00,0.62,0.05,0.09,0.00,0.19,0.05,0.00,0.00
sad,0.00,0.00,0.00,0.00,0.00,0.53,0.21,0.11,0.00,0.05,0.05,0.05
lonely,0.00,0.00,0.00,0.00,0.00,0.10,0.70,0.00,0.20,0.00,0.00,0.00
ashamed,0.00,0.00,0.00,0.00,0.11,0.21,0.00,0.21,0.31,0.11,0.05,0.00
afraid,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.18,0.59,0.06,0.00,0.06
desperate,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.05,0.26,0.35,0.15,0.05
angry,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.75,0.09
disgusted,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.26,0.62
